MOUSE ID,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GGW079,GGW086,GGW087,GGW076,GGW078,GGW092,GGW102,GGW075,GGW098,GGW103
SEX,M,M,M,M,M,M,F,F,F,M,M,M,F,M,M,M,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW
Parents pair,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","19,20","19,20","19,20",18,"19,20","21,22",18,18,"21,22",18
Litter,7,6,2,4,5,7,11,11,11,1,3,3,1,1,1,2,1,1,2
main_CorticalSubplate,10677.9074,7579.093508,8430.598029,7355.62756,7575.199003,7613.935578,8325.632222,8459.706531,8715.149342,9710.354199,6958.66442,6156.407283,7479.075622,12321.97975,9958.64139,11274.04144,10422.99516,10867.89618,14350.50115
main_FibreTracts,5913.875957,5095.617799,5708.65821,4002.911765,4987.451622,4963.764701,5441.97201,5318.520911,5568.166008,5210.985583,,,4649.407427,5955.332201,4647.262448,5377.535014,5434.085388,4939.375,6009.920313
main_Hippocampus,8892.791588,6412.392469,7915.749757,6202.232849,8264.2975,7240.758404,7219.459351,7245.597222,6664.591773,7723.346824,5980.247788,5564.373487,6165.687803,11813.83983,9079.312907,9977.592885,10874.8082,9620.307343,10548.61062
main_Hypothalamus,7033.22976,6255.146763,6279.119436,5719.166042,5785.866146,6238.792242,6686.552784,5796.978128,6482.520688,6433.341943,5284.250243,5187.976675,6107.782818,9249.101486,7726.702514,8433.428968,8109.631231,8637.141641,10553.28134
main_Neocortex,12597.66529,8986.384199,11592.79157,8887.725402,11143.31902,10466.39913,10400.07674,10703.7429,10109.91571,11019.49027,8522.67957,7653.786377,8958.642829,19133.1874,13793.18217,16778.08434,16876.21733,15483.2366,16093.51428
main_OlfactoryAreas,11074.07072,8737.770273,8309.037894,7632.423724,7639.379643,8800.415308,9021.937307,9192.888489,8868.846902,10128.31344,7027.673555,6351.948669,8360.526367,13426.88524,11611.36968,14864.40444,11434.82691,11693.63392,17066.94629
main_Pallidum,6319.367678,5558.679191,6156.818636,5337.320107,5416.314301,5495.100984,6353.748286,5844.319476,5768.531545,5775.21853,5207.537134,,5482.942721,9603.956291,7761.445965,8556.218359,8508.799339,8455.453503,9315.410414
main_Striatum,8958.258951,7030.823645,7747.767168,6576.541269,7161.994473,6895.742783,7542.401282,6885.204901,7950.500788,8956.361613,6465.156329,5678.770721,6988.604248,12030.80227,9727.61118,10475.09148,10162.90221,10654.44064,13106.18919
main_Thalamus,6934.381533,5363.700754,6156.690598,5061.786878,5496.903128,5652.702548,5999.047529,5516.305323,5589.613947,6234.215049,4960.769025,4788.46077,5201.9384,9220.634739,6700.388616,7278.694507,7574.606638,7603.423444,8640.389527
